"Species","Fire_Class_1","Fire_Class_2","Fire_Class_3","Total_Overlap","Species_Polygon"
"chiastoplonia_minuta",54,1425,530.0625,2009.0625,39571.1875
"anonychomyrma_nitidiceps",32.125,98.0625,73.6875,203.875,46861.375
"decilaus_bryophilus",4.625,8.6875,16.0625,29.375,11105.9375
"polyrhachis_hagiomyrma_nourlangie",1.5,827.5625,0,829.0625,2064.25
"ceratomerus_macalpinei",24.4375,438.8125,423.6875,886.9375,1120.5
"euoplos_spinnipes",0,0,0,0,1504.0625
"phyllotocus_australis",119.75,3104.4375,1784.6875,5008.875,28141.625
"temnosewellia_belone",0.6875,13.6875,11.8125,26.1875,353.125
"naxia_tumida",14.875,330.375,114.25,459.5,4380.5625
"argina_astraea",44.3125,442,25.125,511.4375,8192.5625
"ascetoderes_tibialis",14.625,12.8125,5.3125,32.75,16810.8125
"talaurinus_impressicollis",0.8125,1.75,0.25,2.8125,5324.6875
"rhytidoponera_carinata",0.75,307.5,0,308.25,1671.1875
"protolembos_drummondae",0,23.0625,0,23.0625,328.5625
"saragus_pascoei",0,0,0,0,1013.8125
"lissodendoryx_ectyodoryx_maculata",0,0,0,0,328
"paraxanthias_notatus",5.3125,76.3125,21.5625,103.1875,272.25
"phylladiorhynchus_pusillus",2.75,38.625,163.0625,204.4375,513.9375
"dirofilaria_immitis",0.9375,1.75,0.4375,3.125,1067.75
"aurecocrypta_katersi",19.8125,1502.5,105.9375,1628.25,20513.5625
"zizula_hylax_attenuata",89.875,7605.375,297.4375,7992.6875,75300.8125
"eusynthemis_virgula",2734.4375,22079.625,16690.9375,41505,163317.6875
"pedois_lewinella",0,144.5625,158.375,302.9375,968
"paraphellus_rostratus",0.25,7.8125,3.5,11.5625,2426.25
"berosus_enoplurus_nicholasi",71.1875,1453.9375,37.375,1562.5,7269.625
"ceratognathus_ocularis",2.5,104,23.3125,129.8125,1135.5625
"dolichoderus_angusticornis",0,16.875,14.0625,30.9375,2312.875
"epidesmia_chilonaria",1.1875,325.8125,131.375,458.375,1134.3125
"anomotarus_anomotarus_ruficornis_ruficornis",62.4375,148.125,35.625,246.1875,33674
"medetera_bunyensis",0.5,1.3125,0.3125,2.125,712.625
"masasteron_gracilis",0,0,0,0,1075.1875
"tiracerus_irregularis",0.8125,2.0625,0.25,3.125,10220.25
"hyphydrus_decemmaculatus",177.9375,17733.0625,26.875,17937.875,60950.125
"ectoneura_minima",40.4375,290.8125,28.9375,360.1875,5957.1875
"australicapitona_australasiae",116.0625,5653.5625,1.8125,5771.4375,19534.3125
"heteromeringia_laticornis",119.5,3443.6875,1421.5,4984.6875,13776.8125
"prolixodens_infracolor",0.5625,75.1875,28.5,104.25,364.625
"urodacus_koolanensis",9.8125,5250.6875,75.5625,5336.0625,22622.5
"macrosetella_gracilis",9.375,1046.4375,66.375,1122.1875,18032.1875
"gyrocochlea_etna",0.0625,10.5625,3.5625,14.1875,1413.75
"amblyomma_australiense",0,0,0,0,870.25
"bunyaeus_monteithi",0.5,1.3125,0.3125,2.125,1308.5
"larrpana_collessi",7.875,652.3125,0,660.1875,2570.3125
"apistomyia_tonnoiri",5.125,140.5,92.1875,237.8125,980
"phos_strongylocera_textum",0.875,28.0625,0,28.9375,245.6875
"exogone_heterosetoides",0,0,0,0,352.9375
"sternopriscus_wattsi",10.125,196.1875,6.9375,213.25,15587.125
"zeopus_storeoides",1.25,19.8125,0.0625,21.125,32262.875
"encarsia_formosa",5.75,131.25,136.1875,273.1875,20283.1875
"lissapterus_howittanus",0,0.4375,0,0.4375,11758.8125
"pseudococcus_hypergaeus",0.375,6.6875,2,9.0625,1289.5
"tamopsis_platycephala",0,76.75,11.8125,88.5625,3579.625
"aporodrilus_urethrae",0,0,0,0,6072.375
"echinoplana_celerrima",0,0,0,0,604.875
"bungulla_westi",0,0,0,0,12934.8125
"hydrochus_obscuroaeneus",261.75,18483.5,295.25,19040.5,129666.1875
"scoparia_favilliferella",0,174.8125,180.125,354.9375,978.375
"antichiropus_inopinatus",0,114.625,6,120.625,659.875
"cerdistus_maricus",0.75,80.6875,59.6875,141.125,1404.6875
"thoracophorus_thoracophorus_myrmecophilus",0.375,4.9375,0,5.3125,1556.5
"castiarina_trimaculata",0,0,0,0,1103
"euastacus_australasiensis",180.875,4441.125,3286.5,7908.5,19077.1875
"dohrnia_eremita",0,12.0625,6.1875,18.25,2394.5625
